FOD1P	Discipline	count
NA	NA	7371456
BUSINESS MANAGEMENT AND ADMINISTRATION	Business	122020
ELEMENTARY EDUCATION	Education	91933
PSYCHOLOGY	Social Sciences	81489
GENERAL EDUCATION	Education	75616
GENERAL BUSINESS	Business	75322
NA	NA	71588
NURSING	Health Professions	71325
ENGLISH LANGUAGE AND LITERATURE	Humanities	63543
BIOLOGY	Sciences	60138
POLITICAL SCIENCE AND GOVERNMENT	Social Sciences	44867
HISTORY	Humanities	44359
ECONOMICS	Social Sciences	39084
MARKETING AND MARKETING RESEARCH	Business	37913
ELECTRICAL ENGINEERING	Engineering	36140
COMMUNICATIONS	Communications and Journalism	36001
SOCIOLOGY	Social Sciences	33191
FINANCE	Business	32053
COMPUTER SCIENCE	Sciences	30262
MECHANICAL ENGINEERING	Engineering	29383
MATHEMATICS	Sciences	27883
CRIMINAL JUSTICE AND FIRE PROTECTION	Professional	26971
NA	NA	24809
LIBERAL ARTS	Other	24242
FINE ARTS	Arts	22852
GENERAL ENGINEERING	Engineering	19396
FAMILY AND CONSUMER SCIENCES	Other	18083
CIVIL ENGINEERING	Engineering	17981
SOCIAL WORK	Other	17685
MULTI-DISCIPLINARY OR GENERAL SCIENCE	Sciences	17572
SECONDARY TEACHER EDUCATION	Education	16830
PHYSICAL AND HEALTH EDUCATION TEACHING	Education	16459
JOURNALISM	Communications and Journalism	16359
COMMERCIAL ART AND GRAPHIC DESIGN	Arts	16044
PHILOSOPHY AND RELIGIOUS STUDIES	Humanities	14951
MUSIC	Arts	14871
FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES	Humanities	14641
MISCELLANEOUS EDUCATION	Education	14568
ART AND MUSIC EDUCATION	Education	14222
PHYSICAL FITNESS PARKS RECREATION AND LEISURE	Other	13854
ARCHITECTURE	Arts	13613
THEOLOGY AND RELIGIOUS VOCATIONS	Other	13382
LANGUAGE AND DRAMA EDUCATION	Education	13239
TREATMENT THERAPY PROFESSIONS	Health Professions	11974
SPECIAL NEEDS EDUCATION	Education	11625
CHEMICAL ENGINEERING	Engineering	11414
PHYSICS	Sciences	11079
PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION	Health Professions	10436
SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION	Education	8897
COMPUTER AND INFORMATION SYSTEMS	Engineering	8829
COMMUNICATION DISORDERS SCIENCES AND SERVICES	Communications and Journalism	8381
ANTHROPOLOGY AND ARCHEOLOGY	Social Sciences	7949
EARLY CHILDHOOD EDUCATION	Education	7683
HUMAN RESOURCES AND PERSONNEL MANAGEMENT	Business	7668
MASS MEDIA	Communications and Journalism	7620
DRAMA AND THEATER ARTS	Arts	7178
NA	NA	7135
MEDICAL TECHNOLOGIES TECHNICIANS	Health Professions	6764
COMPUTER ENGINEERING	Engineering	6663
GEOLOGY AND EARTH SCIENCE	Sciences	6570
GENERAL SOCIAL SCIENCES	Social Sciences	6558
ADVERTISING AND PUBLIC RELATIONS	Business	6489
HOSPITALITY MANAGEMENT	Business	6266
BIOCHEMICAL SCIENCES	Sciences	6120
